🇨🇳 央视,#genre#
CCTV-9,http://xxy.x3322.net:4022/rtp/239.77.1.168:5146
CCTV-9,http://xxy.x3322.net:4022/rtp/239.77.1.65:5146
CGTN Documentary,http://www.ye28.eu.org:7777/udp/239.253.43.122:5146
CGTN Documentary,http://xxy.x3322.net:4022/rtp/239.253.43.122:5146
CGTN俄语,http://www.ye28.eu.org:7777/udp/239.253.43.201:5146
CGTN俄语,http://xxy.x3322.net:4022/rtp/239.253.43.201:5146
CGTN法语,http://www.ye28.eu.org:7777/udp/239.77.0.228:5146
CGTN法语,http://xxy.x3322.net:4022/rtp/239.77.0.228:5146
CGTN英语,http://www.ye28.eu.org:7777/udp/239.77.0.199:5146
CGTN英语,http://www.ye28.eu.org:7777/udp/239.77.0.45:5146
CGTN英语,http://www.ye28.eu.org:7777/udp/239.77.1.27:5146
CGTN英语,http://xxy.x3322.net:4022/rtp/239.77.0.199:5146
CGTN英语,http://xxy.x3322.net:4022/rtp/239.77.0.45:5146
CGTN英语,http://xxy.x3322.net:4022/rtp/239.77.1.27:5146
CGTN西班牙语,http://www.ye28.eu.org:7777/udp/239.77.0.221:5146
CGTN西班牙语,http://xxy.x3322.net:4022/rtp/239.77.0.221:5146
CGTN阿拉伯语,http://www.ye28.eu.org:7777/udp/239.253.43.200:5146
CGTN阿拉伯语,http://xxy.x3322.net:4022/rtp/239.253.43.200:5146

🇨🇳 卫视,#genre#
三沙卫视,http://www.ye28.eu.org:7777/udp/239.253.43.113:5146
三沙卫视,http://www.ye28.eu.org:7777/udp/239.77.0.152:5146
三沙卫视,http://www.ye28.eu.org:7777/udp/239.77.1.117:5146
三沙卫视,http://xxy.x3322.net:4022/rtp/239.253.43.113:5146
三沙卫视,http://xxy.x3322.net:4022/rtp/239.77.0.152:5146
三沙卫视,http://xxy.x3322.net:4022/rtp/239.77.1.117:5146
东南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.146:5146
东南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.65:5146
东南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.104:5146
东南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.1:5146
东南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.213:5146
东南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.213:5146
东方卫视,http://www.ye28.eu.org:7777/udp/239.77.0.49:5146
东方卫视,http://www.ye28.eu.org:7777/udp/239.77.0.98:5146
东方卫视,http://www.ye28.eu.org:7777/udp/239.77.1.156:5146
东方卫视,http://www.ye28.eu.org:7777/udp/239.77.1.218:5146
东方卫视,http://www.ye28.eu.org:7777/udp/239.77.1.48:5146
东方卫视,http://xxy.x3322.net:4022/rtp/239.77.0.49:5146
东方卫视,http://xxy.x3322.net:4022/rtp/239.77.0.98:5146
东方卫视,http://xxy.x3322.net:4022/rtp/239.77.1.156:5146
东方卫视,http://xxy.x3322.net:4022/rtp/239.77.1.218:5146
东方卫视,http://xxy.x3322.net:4022/rtp/239.77.1.48:5146
云南卫视,http://www.ye28.eu.org:7777/udp/239.253.43.100:5146
云南卫视,http://www.ye28.eu.org:7777/udp/239.253.43.37:5146
云南卫视,http://www.ye28.eu.org:7777/udp/239.77.0.62:5146
云南卫视,http://www.ye28.eu.org:7777/udp/239.77.1.72:5146
云南卫视,http://xxy.x3322.net:4022/rtp/239.253.43.100:5146
云南卫视,http://xxy.x3322.net:4022/rtp/239.253.43.37:5146
云南卫视,http://xxy.x3322.net:4022/rtp/239.77.0.62:5146
云南卫视,http://xxy.x3322.net:4022/rtp/239.77.1.72:5146
兵团卫视,http://www.ye28.eu.org:7777/udp/239.77.0.77:5146
兵团卫视,http://www.ye28.eu.org:7777/udp/239.77.1.80:5146
兵团卫视,http://xxy.x3322.net:4022/rtp/239.77.0.77:5146
兵团卫视,http://xxy.x3322.net:4022/rtp/239.77.1.80:5146
内蒙古卫视,http://www.ye28.eu.org:7777/udp/239.77.0.70:5146
内蒙古卫视,http://www.ye28.eu.org:7777/udp/239.77.1.55:5146
内蒙古卫视,http://xxy.x3322.net:4022/rtp/239.77.0.70:5146
内蒙古卫视,http://xxy.x3322.net:4022/rtp/239.77.1.55:5146
北京卫视,http://www.ye28.eu.org:7777/udp/239.77.0.51:5146
北京卫视,http://www.ye28.eu.org:7777/udp/239.77.0.91:5146
北京卫视,http://www.ye28.eu.org:7777/udp/239.77.1.14:5146
北京卫视,http://www.ye28.eu.org:7777/udp/239.77.1.151:5146
北京卫视,http://www.ye28.eu.org:7777/udp/239.77.1.4:5146
厦门卫视,http://www.ye28.eu.org:7777/udp/239.77.0.96:5146
吉林卫视,http://www.ye28.eu.org:7777/udp/239.77.0.150:5146
吉林卫视,http://www.ye28.eu.org:7777/udp/239.77.0.67:5146
吉林卫视,http://www.ye28.eu.org:7777/udp/239.77.1.111:5146
吉林卫视,http://www.ye28.eu.org:7777/udp/239.77.1.45:5146
吉林卫视,http://xxy.x3322.net:4022/rtp/239.77.0.150:5146
吉林卫视,http://xxy.x3322.net:4022/rtp/239.77.1.111:5146
吉林卫视,http://xxy.x3322.net:4022/rtp/239.77.1.45:5146
四川卫视,http://www.ye28.eu.org:7777/udp/239.77.0.159:5146
四川卫视,http://www.ye28.eu.org:7777/udp/239.77.0.163:5146
四川卫视,http://www.ye28.eu.org:7777/udp/239.77.0.60:5146
四川卫视,http://www.ye28.eu.org:7777/udp/239.77.1.215:5146
四川卫视,http://www.ye28.eu.org:7777/udp/239.77.1.30:5146
四川卫视,http://xxy.x3322.net:4022/rtp/239.77.0.159:5146
四川卫视,http://xxy.x3322.net:4022/rtp/239.77.0.163:5146
四川卫视,http://xxy.x3322.net:4022/rtp/239.77.0.60:5146
